experiment,phi_mean,phi_std,tau_mean,tau_std,alpha,alpha_std,alpha_lambda,alpha_tau,a,a_wrong,len
01-02-2019-Table 1.csv,0.696248318,0.0820537486606457,9.28748833333333,1.2112471321578477,0.5081857895389464,0.24591465560135828,-0.20264914537784914,-0.20264914537784914,-0.9953506633974065,0.4918142104610522,12
01-04-2019L-X-Table 1.csv,0.67111882075,0.08249339170763366,9.483600833333334,0.7150683551236505,0.38974608820230194,0.25022390565491104,0.26839898667608975,0.26839898667608975,-1.1984067886135337,0.6102539117977008,12
01-10-2019-Table 1.csv,0.6684687632000003,0.0539387735536036,8.868801000000001,1.0585382925257527,0.44461683716419725,0.23620910505538253,0.09402251293572378,0.09402251293572378,-1.0694283259637338,0.5553831628358026,10
01-10-2019L-Table 1.csv,0.6823421973333333,0.07808382462831244,9.7924025,1.3482990315823518,0.3366287129764727,0.19292826544557193,-0.007285018708091136,-0.007285018708091136,-1.3363205511894445,0.6633712870235331,12
01-21-2019-Table 1.csv,0.6699725304545455,0.053817077167891955,14.260107272727275,1.123108927631484,0.2735534248528461,0.16531045318487456,0.11361916408259333,0.11361916408259333,-1.393822479537862,0.7264465751471543,22
03-02-2018-Table 1.csv,0.6905462419565217,0.05795331276939652,11.8832,1.84841791148293,0.3768520001281539,0.15252044078846147,-0.3293314025176347,-0.3293314025176347,-1.2614455431203313,0.6231479998718403,23
05-03-2018-Table 1.csv,0.7083629113333334,0.059442329163946615,10.395566666666667,1.0298813135243643,0.3616215394224649,0.546877695619891,0.8200922370684237,0.8200922370684237,-1.361535876753596,0.6383784605775434,6
10-06-2018X-Table 1.csv,0.6832071643333331,0.08855501643827726,11.84095,2.1195136192768382,0.6573059046209725,0.6470071570137973,-0.24514282652984404,-0.24514282652984404,-0.7611685067790965,0.3426940953790215,3
11-01-2018-Table 1.csv,0.6846411728749999,0.1069336048751325,10.358595000000001,1.2609382393281607,0.713557249504861,0.39721292778254524,0.06059427923903012,0.06059427923903012,-0.5519648217121867,0.28644275049513496,8
11-13-2018-Table 1.csv,0.693622078,0.08809996164263464,9.012443000000001,1.029063774463089,0.47883755176642717,0.2748596302876847,-0.10964525504691197,-0.10964525504691197,-1.071365331237491,0.5211624482335742,10
11-17-2018-Table 1.csv,0.7148920154,0.07170677903439066,9.49581,0.6293639164664572,0.6641201214997242,0.35506567618662443,0.19849458590611313,0.19849458590611313,-0.6367773168479642,0.3358798785002728,5
11-17-2018L-Table 1.csv,0.7049590825000001,0.06997093809593201,10.424537500000001,0.9511353629697862,0.9986760475219949,0.5065835277697306,0.1248125501788036,0.1248125501788036,0.0035073323793365753,0.0013239524780219688,4
11-28-2018-Table 1.csv,0.7426768665714284,0.06527292548526763,9.687431428571427,0.6114900742565553,0.09263784689282376,0.20100518505635398,-0.03809372746111996,-0.03809372746111996,-1.8995507243380103,0.907362153107171,7
12-03-2018-Table 1.csv,0.672568024,0.05547646292207644,8.720058965517245,0.8329217055399646,0.26655997222576605,0.11013593905185884,0.05353819503769693,0.05353819503769693,-1.4248716734109756,0.7334400277742321,29
12-08-2018L-Table 1.csv,0.6888028288,0.058426260980168614,9.145348,0.7149056441377415,0.9851086030729373,0.5232635958982523,0.09787775015204009,0.09787775015204009,-0.011753606636463547,0.014891396927059626,5
12-14-2018-Table 1.csv,0.7094854494000001,0.049148230922359246,9.175566,0.3249633809831484,0.2791964848878361,0.3968123491975402,0.013548787442640823,0.013548787442640823,-1.4873373695530587,0.7208035151121686,5
2017-11-08JK-Table 1.csv,0.700626069,0.0568866733799461,9.677020000000002,0.4121665939884023,1.4732471231689777,0.9115859588370344,0.8025158573648369,0.8025158573648369,0.9519671163004151,-0.47324712316900314,3
2018-02-24JK-Table 1.csv,0.7156250720000001,0.19680843171919543,10.346628,2.8077370868138627,0.9476190099673675,0.5018778429682307,-0.08814261937261754,-0.08814261937261754,-0.1158492803372286,0.05238099003263241,5
2018-03-26_2JK-Table 1.csv,0.7104814998888888,0.06814331838248745,8.539456666666666,0.6477374813533637,0.7578555067441272,0.30705244439742946,0.20146442203545048,0.20146442203545048,-0.501796226196711,0.242144493255881,9
2018-03-31JK-Table 1.csv,0.7032269291666667,0.09883700209251811,9.273385,1.1966891986936292,0.7218146110040186,0.38675150746445425,0.08981698880238198,0.08981698880238198,-0.5681206725413481,0.27818538899598094,6
2018-04-06JK-Table 1.csv,0.7290447305999999,0.06813854153470064,10.642036000000001,1.3436958719442431,0.7777743515641307,0.6486735759812265,-0.9006693280614971,-0.9006693280614971,-0.5010008980929263,0.22222564843587922,5
2018-11-09JK1-Table 1.csv,0.6745235823684211,0.06084713592903037,8.867656315789473,0.5409958599678355,0.6925582521543511,0.20925031352790496,0.2515332597134597,0.2515332597134597,-0.6192452963207327,0.3074417478456422,19
2018-11-09XJK2-Table 1.csv,0.7035639415714285,0.1274772840857012,11.614147142857146,2.594813695224338,1.0579674174521556,0.47173933530305145,-0.33375650877120266,-0.33375650877120266,0.12484998853932201,-0.05796741745215255,7
2019-06-27JK-Table 1.csv,0.6925103798749999,0.07490558080610656,10.089706249999997,0.9857092185533579,0.6030536272944885,0.33937691239625656,0.6370792479430816,0.6370792479430816,-0.8423558416074175,0.3969463727055099,8
